201 100
0.000127652 0.00230295 0.00242658
0.00235242 0.0346594 0.00538261
0.00862793 0.0624245 0.00311238
0.00340949 0.055044 0.00625827
0.00974397 0.0977904 0.0031271
0.0106695 0.117115 0.00304275
0.00446911 0.075041 0.0060624
0.0109017 0.127615 0.00293815
0.00549442 0.0896732 0.00676848
0.0114038 0.159993 0.00298208
0.00612898 0.0978818 0.00657426
0.0120415 0.166211 0.00305207
0.00681121 0.110547 0.00650832
0.0128234 0.180432 0.00290147
0.0137176 0.196427 0.00306179
0.00738783 0.115061 0.00679617
0.0138252 0.195265 0.00294718
0.00817313 0.128272 0.00662394
0.0150244 0.194339 0.003066
0.0162784 0.207724 0.00304709
0.00864978 0.135481 0.00673925
0.0161833 0.206681 0.00317544
0.00936993 0.143512 0.00707766
0.0170409 0.217824 0.00321132
0.0172424 0.225368 0.00310434
0.00982864 0.152502 0.00696243
0.0172788 0.192781 0.00316475
0.0104611 0.153692 0.00696486
0.0192128 0.214885 0.00318328
0.019836 0.247654 0.00321963
0.0111592 0.157395 0.00736115
0.0196227 0.222871 0.00313829
0.0116531 0.173368 0.00715449
0.0212517 0.240707 0.00315496
0.020796 0.233786 0.003117
0.0119727 0.176122 0.00757184
0.021063 0.256816 0.00306647
0.0127397 0.178365 0.00758533
0.0217366 0.258072 0.00310281
0.0217454 0.270491 0.00314247
0.0131129 0.186101 0.00679207
0.021404 0.261735 0.00318738
0.0136421 0.188679 0.0072973
0.0224955 0.287802 0.0031305
0.0220443 0.28944 0.00319438
0.0141654 0.207739 0.00760633
0.0229089 0.295708 0.00327368
0.0235526 0.3201 0.00301987
0.0146381 0.1876 0.00719354
0.0244268 0.320813 0.00306384
0.0149735 0.210685 0.00827074
0.024708 0.331134 0.00302136
0.0248935 0.320068 0.00318022
0.0151492 0.222391 0.00815088
0.0239974 0.30793 0.00315736
0.0260133 0.308505 0.00299512
0.015932 0.234419 0.0073227
0.0263132 0.288125 0.00307131
0.0273469 0.324407 0.00301602
0.0161523 0.231183 0.00749678
0.0278823 0.312197 0.00323643
0.0164601 0.225483 0.00751735
0.0275441 0.323795 0.00303225
0.0273156 0.348681 0.00303866
0.0169052 0.230543 0.0071214
0.0278841 0.308625 0.0032222
0.027563 0.319189 0.00304348
0.0172894 0.247618 0.00725256
0.028131 0.343011 0.00293055
0.028606 0.348909 0.00307969
0.0179054 0.239513 0.00764993
0.0291847 0.336851 0.00314978
0.0294648 0.354205 0.00319518
0.0181884 0.267686 0.00755285
0.0287285 0.335511 0.00313378
0.0287057 0.328163 0.00300438
0.0185171 0.275519 0.00791835
0.0291916 0.367194 0.00310534
0.0283181 0.374639 0.00306876
0.018439 0.263318 0.00765635
0.0290267 0.361082 0.00327552
0.0281364 0.371249 0.00314525
0.0187559 0.268779 0.00764159
0.0275386 0.354816 0.00305713
0.0287807 0.373078 0.00312963
0.0186907 0.273358 0.00776214
0.0300414 0.387052 0.00314749
0.0292254 0.393274 0.00309425
0.0189985 0.273175 0.00775544
0.0294844 0.371264 0.00310935
0.0289471 0.38021 0.00321027
0.0194088 0.288878 0.00857535
0.0285311 0.389241 0.00326405
0.0284785 0.375359 0.00309916
0.01992 0.280404 0.00764408
0.029335 0.377314 0.00325491
0.0289308 0.368954 0.00323271
0.0205933 0.292601 0.00840251
0.0293293 0.399226 0.00322442
0.0310327 0.371249 0.00320598
0.0310434 0.418493 0.00319213
0.0207945 0.278857 0.00792879
0.0318162 0.394657 0.00307622
0.0308583 0.398754 0.00311002
0.0211913 0.290802 0.00715312
0.0312785 0.423294 0.00321296
0.0325041 0.37683 0.00331142
0.0209896 0.300608 0.00813274
0.032505 0.39802 0.00330109
0.0314489 0.424744 0.0030817
0.0215309 0.330736 0.00798916
0.0322966 0.401275 0.00321429
0.0323754 0.400192 0.0030689
0.0327335 0.417845 0.00306597
0.0218464 0.28368 0.00865955
0.0323286 0.413538 0.00322675
0.0318107 0.423942 0.00319769
0.0222278 0.315458 0.0081527
0.0310154 0.385357 0.00309779
0.0314635 0.395229 0.0031008
0.0223131 0.322844 0.00778738
0.0300528 0.409619 0.00308776
0.0306848 0.432317 0.0031865
0.0229331 0.323802 0.00738364
0.0315455 0.425553 0.00322598
0.0318753 0.439287 0.00315834
0.0321941 0.421287 0.00319413
0.0225597 0.286308 0.0084761
0.0320247 0.407472 0.00319448
0.0335202 0.426617 0.0031865
0.0230205 0.319308 0.00860665
0.0335977 0.426833 0.00308644
0.0339551 0.422291 0.00325999
0.0345998 0.426698 0.00326149
0.0234329 0.339145 0.00812651
0.0349173 0.431267 0.00318181
0.0340698 0.460135 0.00315993
0.0235895 0.338093 0.00818523
0.0343591 0.446614 0.00315442
0.0344606 0.448937 0.00318269
0.0335878 0.464924 0.00310666
0.0236245 0.329961 0.00831017
0.0330682 0.411718 0.00317712
0.033272 0.471501 0.00321744
0.0239298 0.338195 0.00795084
0.0337205 0.440158 0.00322142
0.0326099 0.448091 0.00318774
0.0238055 0.349883 0.00789839
0.0339288 0.450309 0.00318719
0.0331353 0.439362 0.00309203
0.0328201 0.449338 0.00325657
0.0236872 0.33466 0.00781979
0.0339306 0.446805 0.00310699
0.0338713 0.46401 0.00315692
0.0237785 0.347867 0.00801073
0.0345582 0.45293 0.00324388
0.0340162 0.490667 0.00314168
0.0351247 0.437159 0.00334598
0.0238926 0.347536 0.00834507
0.0350119 0.469272 0.00303169
0.035424 0.467338 0.00320183
0.0356977 0.435022 0.00319346
0.0241935 0.344271 0.00812008
0.0355404 0.461118 0.00304501
0.0357288 0.453525 0.00317101
0.0358616 0.452501 0.00327161
0.0246441 0.359811 0.00768038
0.0357808 0.48196 0.00327745
0.036491 0.462079 0.00315322
0.0242273 0.370935 0.00819858
0.0363783 0.417819 0.00318968
0.0354474 0.48548 0.00338536
0.036189 0.465765 0.00312495
0.0247701 0.36803 0.00820884
0.0359405 0.46234 0.00319332
0.0360851 0.452396 0.00305091
0.0356284 0.46067 0.00309216
0.0248718 0.34115 0.00789048
0.035877 0.463005 0.00313804
0.0366263 0.460086 0.00305447
0.0360529 0.477674 0.00305061
0.0250116 0.338073 0.00887959
0.0355986 0.481768 0.00310563
0.0354294 0.440515 0.00322138
0.0357079 0.468281 0.00312489
0.025078 0.366964 0.00761646
0.0352916 0.492597 0.00317845
0.035006 0.481303 0.00325179
0.0353904 0.47252 0.00313204
0.0257705 0.371612 0.00867667
0.0355729 0.479842 0.00309467
0.0346987 0.461813 0.00310588
0.0265199 0.361217 0.0084913
0.0349856 0.488771 0.00329418
0.0354337 0.472143 0.00330138
0.0350782 0.486845 0.00316658
0.026071 0.386181 0.00782437
0.0358442 0.467222 0.0033344
0.0367135 0.4949 0.00329664
0.0361936 0.471241 0.00309
0.0259816 0.397536 0.00858808
0.035403 0.496157 0.00315128
0.0357315 0.491792 0.00310702
0.0261074 0.377028 0.00852038
0.0351162 0.479728 0.003147
0.0346496 0.489711 0.00327306
0.0349572 0.481384 0.00320331
0.0267898 0.384016 0.00806909
0.0358047 0.460511 0.00335842
0.0357177 0.507877 0.00321781
0.0358007 0.516446 0.00309502
0.0268946 0.370054 0.00840219
0.0365891 0.484385 0.00311929
0.035797 0.494408 0.00313525
0.0363798 0.475144 0.00309192
0.0270927 0.394189 0.00792992
0.0370417 0.480673 0.00327775
0.0375358 0.494286 0.0031457
0.0372687 0.509257 0.00318534
0.0270847 0.393488 0.00824482
0.0363464 0.509398 0.00318708
0.0361582 0.51353 0.00320966
0.0369736 0.525888 0.00315001
0.0368508 0.552971 0.00302723
0.0273422 0.387815 0.00839546
0.0361721 0.539767 0.00326607
0.0359725 0.522676 0.00311537
0.0358375 0.513514 0.00310371
0.026999 0.383412 0.00715803
0.0353487 0.492721 0.00331898
0.0356911 0.521082 0.00327727
0.0363403 0.503899 0.00329865
0.0271493 0.3953 0.00815158
0.0374078 0.529413 0.00330728
0.0366661 0.498752 0.00316785
0.0277779 0.425897 0.00775913
0.0366122 0.532693 0.00320714
0.0362129 0.508538 0.00312673
0.0351637 0.53971 0.00311376
0.0353389 0.523353 0.00321988
0.027844 0.397326 0.00785148
0.0356606 0.489158 0.00306043
0.0357718 0.499435 0.00316967
0.0365056 0.513235 0.00320447
0.0277388 0.403204 0.00885759
0.0366458 0.485364 0.00303063
0.0367915 0.51929 0.00316286
0.0380064 0.506107 0.00313748
0.0381523 0.524571 0.00318687
0.0279635 0.39865 0.00911252
0.0375128 0.490435 0.00320882
0.037495 0.51448 0.00326302
0.0375793 0.508658 0.00329658
0.0284336 0.397494 0.0081257
0.0362809 0.509292 0.00324897
0.0368087 0.506665 0.00331667
0.0287429 0.402173 0.00798577
0.0367172 0.503512 0.00329058
0.0365617 0.55012 0.00316218
0.037347 0.498212 0.00317466
0.0363435 0.518831 0.00323656
0.0283512 0.402085 0.00892988
0.0373454 0.505138 0.00317027
0.0373133 0.531125 0.00313458
0.0374476 0.522311 0.00328216
0.028145 0.382279 0.00845232
0.0380284 0.498201 0.00326227
0.0367547 0.486732 0.00328796
0.0376175 0.539724 0.00312976
0.0377405 0.512021 0.00317055
0.0279423 0.420179 0.00796307
0.0380602 0.508901 0.00315563
0.0394946 0.498277 0.0031961
0.0389901 0.517126 0.00314177
0.029058 0.406891 0.00890065
0.0386299 0.51534 0.0030905
0.0376797 0.526038 0.00314666
0.0382346 0.522524 0.00306142
0.0295865 0.423695 0.00913615
0.0386764 0.530216 0.00306244
0.0398442 0.535636 0.00327041
0.0399343 0.534043 0.00316127
0.0394326 0.522851 0.00323111
0.0304575 0.409614 0.00818282
0.0380804 0.528039 0.00324584
0.037462 0.534886 0.00332984
0.0373115 0.517781 0.00316478
0.0302106 0.4165 0.00885449
0.0301481 0.422609 0.00842634
0.0292004 0.424729 0.00829303
0.0285542 0.440613 0.00795563
0.0292001 0.418925 0.00864983
0.0293626 0.433108 0.00823735
0.0292475 0.437518 0.00793226
0.0298758 0.445572 0.0086983
0.0299148 0.398746 0.00830706
0.0298949 0.451349 0.00772082
0.0300531 0.454642 0.00832274
0.0299838 0.447485 0.00850909
0.0304257 0.416512 0.00904146
0.0312191 0.41894 0.00912248
0.0311074 0.442292 0.00793151
0.0310858 0.422075 0.00809589
0.0315794 0.440009 0.00906301
0.0318262 0.441653 0.00786079
