// Initial random seed:
1502062847184

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
initializeMutationType(2, 0.5, "f", -1);
initializeGenomicElementType(1, c(m1, m2), c(1, 1));
initializeGenomicElement(g1, 0, 999);
initializeRecombinationRate(0.001);

// Starting run at generation <start>:
1 

DATA:
800
98 38 98 38
98 216 98 216
98 241 98 241
98 267 98 267
98 280 98 280
98 288 98 288
97 279 97 279
95 312 97 310
95 328 97 326
96 331 96 331
95 335 92 338
92 319 91 320
91 360 91 360
89 363 92 360
88 359 89 358
89 363 88 364
90 378 93 375
88 381 91 378
90 383 92 381
89 381 90 380
89 368 91 366
88 387 85 390
86 401 85 402
87 389 83 393
83 393 85 391
80 383 85 378
83 388 88 383
80 357 85 352
83 383 84 382
81 387 84 384
83 405 82 406
83 396 85 394
81 399 88 392
79 419 85 413
82 410 90 402
80 382 90 372
78 391 89 380
84 396 90 390
83 395 90 388
83 429 86 426
84 430 90 424
83 424 86 421
82 413 86 409
83 411 87 407
83 403 91 395
83 433 89 427
82 412 87 407
84 401 86 399
83 423 84 422
85 404 86 403
87 404 83 408
85 406 85 406
88 391 83 396
87 412 85 414
88 415 88 415
88 406 88 406
85 407 83 409
83 386 84 385
85 397 86 396
84 397 83 398
84 397 87 394
84 403 86 401
82 437 86 433
82 415 86 411
82 429 86 425
81 440 82 439
85 401 84 402
82 419 82 419
80 422 84 418
80 428 82 426
82 426 80 428
82 436 80 438
80 448 83 445
75 446 82 439
81 428 85 424
80 426 82 424
79 415 81 413
79 434 79 434
75 424 78 421
76 418 78 416
79 456 78 457
76 438 77 437
78 451 75 454
78 425 77 426
74 426 78 422
75 441 80 436
77 438 80 435
78 461 76 463
77 451 76 452
75 436 78 433
77 444 79 442
77 445 79 443
77 464 80 461
77 462 85 454
75 429 86 418
77 447 83 441
76 445 87 434
75 471 88 458
77 440 79 438
78 445 81 442
80 438 78 440
81 442 79 444
80 435 78 437
79 428 78 429
78 440 80 438
80 406 79 407
79 418 80 417
79 437 83 433
77 417 85 409
80 458 80 458
81 440 79 442
76 430 78 428
73 434 74 433
73 419 73 419
73 439 75 437
76 424 75 425
77 436 80 433
78 430 77 431
79 412 74 417
80 416 75 421
76 443 75 444
79 414 78 415
77 429 78 428
79 427 78 428
75 440 75 440
79 417 74 422
76 422 74 424
73 438 72 439
73 428 73 428
76 427 71 432
79 433 72 440
80 410 73 417
77 419 72 424
72 421 73 420
70 430 73 427
72 426 69 429
69 434 69 434
68 424 70 422
68 433 70 431
68 437 70 435
68 444 71 441
69 419 71 417
68 433 70 431
69 422 71 420
70 427 70 427
69 425 65 429
69 430 69 430
67 434 66 435
69 412 61 420
66 415 63 418
69 431 64 436
67 424 63 428
69 427 61 435
71 414 62 423
69 423 62 430
68 448 64 452
65 400 60 405
66 447 62 451
70 428 63 435
68 447 64 451
66 451 65 452
66 414 67 413
69 424 66 427
71 432 65 438
69 436 67 438
66 456 63 459
66 447 66 447
64 451 65 450
64 418 64 418
65 437 64 438
64 431 64 431
68 411 67 412
67 417 65 419
66 439 66 439
64 454 63 455
66 435 62 439
64 430 63 431
65 428 61 432
64 443 65 442
66 439 68 437
68 445 68 445
69 433 67 435
70 437 67 440
63 441 69 435
64 456 70 450
67 450 66 451
67 429 66 430
66 425 60 431
65 437 66 436
64 460 66 458
64 446 66 444
68 430 69 429
64 423 63 424
65 425 65 425
63 420 65 418
63 445 67 441
61 439 61 439
63 421 62 422
64 446 66 444
67 453 64 456
68 429 63 434
66 449 63 452
66 432 65 433
69 434 68 435
67 436 63 440
70 447 65 452
68 450 66 452
70 436 66 440
70 462 66 466
71 445 69 447
69 435 73 431
67 417 71 413
69 441 71 439
66 445 67 444
69 429 67 431
68 421 67 422
69 436 65 440
70 441 62 449
70 434 68 436
64 424 66 422
65 432 68 429
63 457 69 451
65 444 63 446
70 444 65 449
69 430 63 436
74 431 68 437
70 438 65 443
75 429 65 439
66 445 68 443
68 443 69 442
68 437 67 438
70 452 67 455
70 435 68 437
67 437 67 437
68 434 67 435
68 442 66 444
65 439 64 440
63 438 65 436
64 436 67 433
59 437 66 430
57 442 68 431
56 462 65 453
57 460 65 452
60 465 65 460
58 462 70 450
57 432 69 420
58 445 66 437
55 457 65 447
58 451 61 448
55 459 63 451
57 446 60 443
58 438 59 437
59 467 56 470
58 446 55 449
56 447 57 446
55 448 54 449
53 445 56 442
58 429 54 433
57 456 59 454
56 444 57 443
57 444 58 443
57 459 58 458
56 450 53 453
53 451 57 447
54 456 52 458
53 449 53 449
51 433 51 433
53 452 53 452
52 425 58 419
50 416 54 412
52 456 55 453
51 447 53 445
53 453 54 452
51 469 54 466
54 449 52 451
54 460 54 460
51 449 55 445
51 444 56 439
51 443 58 436
49 439 51 437
47 434 53 428
49 448 54 443
49 472 53 468
51 452 54 449
49 426 53 422
47 432 55 424
49 419 53 415
46 434 55 425
44 444 55 433
44 450 54 440
46 473 54 465
43 456 54 445
46 434 53 427
43 454 50 447
44 430 50 424
46 444 54 436
49 441 52 438
50 425 50 425
48 447 54 441
48 439 54 433
46 456 52 450
47 464 53 458
45 475 50 470
45 461 53 453
47 460 51 456
48 427 51 424
49 443 52 440
50 460 53 457
49 463 48 464
46 443 48 441
49 469 49 469
50 446 44 452
51 470 50 471
51 453 51 453
47 469 52 464
51 459 54 456
57 457 57 457
56 471 55 472
54 475 57 472
53 467 58 462
52 455 57 450
57 461 52 466
54 453 55 452
58 451 55 454
59 435 54 440
60 452 55 457
58 449 58 449
62 466 57 471
66 428 57 437
61 441 59 443
61 430 61 430
61 438 56 443
57 448 59 446
55 458 58 455
60 451 59 452
63 452 57 458
56 441 59 438
55 463 61 457
55 449 57 447
57 454 56 455
57 465 53 469
56 445 55 446
54 448 55 447
52 468 57 463
56 451 60 447
54 467 56 465
58 459 56 461
54 441 55 440
60 466 56 470
58 471 58 471
55 417 58 414
58 434 57 435
58 431 61 428
58 399 60 397
59 446 59 446
55 466 61 460
54 450 60 444
59 459 59 459
56 452 58 450
55 446 62 439
59 442 58 443
58 437 58 437
56 434 56 434
55 446 56 445
60 430 55 435
55 442 54 443
57 442 57 442
59 427 57 429
58 430 56 432
57 436 57 436
58 458 55 461
55 437 53 439
54 439 55 438
54 462 53 463
52 459 53 458
51 451 54 448
52 429 57 424
55 416 54 417
55 428 54 429
55 442 57 440
52 456 61 447
56 439 55 440
59 445 54 450
57 461 59 459
61 431 56 436
61 420 56 425
57 449 56 450
60 416 56 420
56 429 61 424
55 429 62 422
57 436 60 433
59 410 60 409
61 434 59 436
59 410 59 410
55 423 58 420
55 408 60 403
55 418 58 415
54 419 55 418
54 414 58 410
55 462 63 454
59 412 60 411
57 419 60 416
59 435 60 434
57 433 61 429
60 428 61 427
60 457 59 458
60 451 63 448
61 418 62 417
65 429 63 431
62 438 58 442
61 440 59 442
62 439 56 445
64 447 55 456
61 437 55 443
60 459 58 461
59 453 58 454
60 460 58 462
60 426 56 430
59 439 54 444
58 445 57 446
59 430 54 435
61 458 53 466
63 447 59 451
63 460 57 466
64 462 57 469
63 448 59 452
64 453 57 460
65 424 60 429
62 415 58 419
62 421 61 422
63 423 63 423
63 434 65 432
69 441 65 445
65 428 62 431
65 436 64 437
64 441 61 444
63 461 55 469
65 446 56 455
62 436 58 440
63 438 57 444
66 423 58 431
67 420 63 424
61 424 62 423
64 452 65 451
61 444 60 445
61 437 60 438
61 440 61 440
65 421 62 424
61 416 59 418
58 427 62 423
60 433 58 435
56 433 56 433
56 442 57 441
58 420 55 423
57 435 57 435
59 405 55 409
56 434 56 434
59 441 53 447
59 441 56 444
55 426 58 423
58 436 57 437
55 449 57 447
57 441 56 442
56 444 55 445
58 448 56 450
56 446 59 443
57 448 56 449
58 443 53 448
61 460 53 468
57 458 53 462
63 457 52 468
65 451 53 463
61 437 54 444
59 468 55 472
57 455 54 458
59 460 56 463
62 429 54 437
64 427 55 436
61 429 51 439
63 413 50 426
64 429 51 442
63 464 50 477
66 410 52 424
67 438 55 450
68 429 52 445
63 431 53 441
63 444 54 453
62 426 57 431
62 460 55 467
60 446 55 451
64 428 55 437
65 439 57 447
61 447 53 455
55 443 55 443
57 456 58 455
61 462 59 464
62 443 56 449
60 458 52 466
64 449 52 461
56 456 58 454
60 449 57 452
63 470 58 475
67 439 57 449
65 452 55 462
61 464 54 471
60 454 55 459
63 473 57 479
60 476 57 479
64 450 56 458
64 447 54 457
61 440 54 447
63 455 56 462
62 476 54 484
62 457 57 462
60 479 57 482
61 453 58 456
58 442 56 444
61 457 59 459
64 443 58 449
64 453 59 458
65 437 57 445
65 467 57 475
67 456 55 468
65 465 58 472
66 437 53 450
62 465 56 471
63 449 53 459
63 437 56 444
62 440 57 445
65 463 55 473
61 445 54 452
63 438 56 445
64 456 53 467
63 450 53 460
64 432 57 439
62 457 56 463
63 452 57 458
62 419 58 423
63 432 55 440
64 449 55 458
62 448 54 456
55 441 54 442
55 442 55 442
57 447 58 446
60 444 57 447
58 455 55 458
61 456 59 458
62 451 58 455
58 465 56 467
51 450 54 447
54 453 53 454
53 428 54 427
54 435 54 435
56 451 57 450
56 453 60 449
57 426 58 425
59 435 57 437
58 423 54 427
56 442 53 445
56 442 54 444
59 428 55 432
54 451 55 450
56 421 51 426
58 444 52 450
58 446 50 454
55 471 51 475
58 447 50 455
57 460 49 468
60 444 47 457
58 427 49 436
55 438 50 443
54 444 49 449
57 434 49 442
58 451 50 459
57 432 48 441
54 441 47 448
57 442 48 451
58 442 48 452
58 438 52 444
58 431 53 436
60 418 54 424
58 442 58 442
58 439 56 441
58 432 58 432
57 463 57 463
60 450 59 451
62 444 59 447
63 440 57 446
64 425 56 433
62 436 58 440
62 437 60 439
62 419 63 418
62 442 63 441
63 426 60 429
67 442 62 447
62 433 63 432
61 455 61 455
66 417 61 422
67 431 57 441
71 431 60 442
67 430 62 435
72 421 62 431
67 457 58 466
66 429 58 437
70 437 60 447
64 438 59 443
61 438 56 443
57 449 57 449
58 446 59 445
62 445 60 447
58 459 59 458
57 462 60 459
59 452 56 455
61 453 57 457
61 443 59 445
60 450 59 451
56 461 59 458
57 453 61 449
57 453 62 448
57 447 61 443
57 453 61 449
59 445 61 443
64 431 60 435
64 439 60 443
65 446 59 452
59 433 57 435
60 445 59 446
61 424 61 424
59 437 60 436
55 442 57 440
57 438 60 435
55 434 63 426
54 461 60 455
57 453 64 446
58 451 61 448
58 439 61 436
60 417 64 413
62 437 61 438
58 452 60 450
63 424 63 424
61 425 60 426
59 466 63 462
60 436 62 434
59 413 62 410
60 433 63 430
61 447 64 444
61 429 60 430
59 424 60 423
57 433 60 430
58 459 60 457
58 448 60 446
55 429 56 428
60 426 60 426
59 414 59 414
59 448 59 448
61 430 57 434
57 434 58 433
54 440 57 437
61 438 62 437
59 448 59 448
56 438 59 435
55 435 61 429
58 449 60 447
59 449 60 448
55 474 57 472
54 469 58 465
55 430 60 425
54 431 60 425
57 458 63 452
61 426 60 427
59 443 62 440
59 428 60 427
58 454 66 446
59 450 64 445
61 453 68 446
61 438 65 434
59 438 63 434
59 440 60 439
59 453 60 452
62 435 58 439
60 446 62 444
62 438 61 439
59 442 60 441
60 449 62 447
60 455 64 451
59 444 64 439
57 447 61 443
55 458 67 446
59 470 64 465
59 457 63 453
62 438 60 440
61 441 65 437
60 431 67 424
60 454 67 447
54 448 68 434
56 443 65 434
57 444 63 438
60 446 64 442
59 463 65 457
59 452 63 448
60 458 66 452
60 436 66 430
60 451 63 448
65 423 63 425
62 448 63 447
64 456 60 460
62 446 59 449
61 449 58 452
60 462 65 457
58 466 62 462
57 476 61 472
58 463 64 457
57 453 62 448
60 464 61 463
59 455 63 451
62 456 58 460
61 462 58 465
62 441 57 446
60 460 56 464
59 459 57 461
57 455 58 454
61 451 56 456
61 439 52 448
56 458 52 462
60 458 54 464
56 462 55 463
59 446 58 447
