// Initial random seed:
1500637279968

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
initializeMutationType(2, 0.5, "f", -1);
initializeGenomicElementType(1, c(m1, m2), c(1, 1));
initializeGenomicElement(g1, 0, 999);
initializeRecombinationRate(0.001);

// Starting run at generation <start>:
1 

DATA:
1
41 18 39 26
41 24 33 19
36 21 35 22
35 21 42 21
38 28 41 24
37 23 36 28
40 22 38 26
46 23 43 24
37 27 38 14
43 17 32 23
44 23 41 23
39 22 35 18
44 26 35 24
40 24 31 22
40 23 36 18
46 19 41 18
45 28 42 15
38 21 39 22
42 19 40 23
45 23 33 27
43 16 37 16
39 24 34 24
42 19 39 22
45 21 35 22
37 23 37 24
44 20 34 16
39 25 40 19
39 22 41 16
39 24 37 19
38 26 38 24
36 24 37 25
41 28 38 18
40 18 37 23
41 24 28 20
46 22 37 27
46 19 37 17
42 19 40 23
41 29 37 23
45 17 38 18
38 16 35 26
41 24 34 21
36 17 29 22
44 20 42 19
40 19 36 23
47 28 36 24
45 21 40 16
47 23 37 21
47 23 31 18
41 22 31 21
38 25 27 17
45 31 40 22
42 23 33 25
47 25 38 19
42 24 34 17
39 21 33 25
43 24 37 16
42 17 37 21
41 20 36 17
46 29 38 18
43 25 39 20
40 21 42 17
41 19 34 17
46 19 31 20
39 22 28 20
46 23 42 18
44 24 36 18
41 21 37 18
42 21 35 23
35 24 38 18
40 20 36 22
47 21 37 13
47 24 38 17
45 23 39 25
45 19 35 26
54 21 34 27
41 24 37 18
44 19 37 23
45 21 33 21
44 21 31 23
40 24 42 19
41 21 35 23
46 25 38 20
40 25 35 28
44 25 42 27
40 25 31 16
43 20 37 19
45 21 36 20
40 21 39 14
39 27 40 19
45 18 45 17
45 23 36 20
44 19 32 18
40 26 37 22
38 23 40 26
36 23 37 25
43 23 38 21
40 24 34 19
41 20 42 21
40 21 42 23
38 24 37 17
46 27 26 19
45 21 35 25
37 25 44 21
47 23 39 20
46 25 41 21
40 23 34 19
47 23 37 23
39 20 32 25
45 22 39 14
44 21 36 20
42 24 39 22
46 24 31 19
34 19 35 16
42 29 37 26
46 18 38 25
37 28 41 14
38 21 35 17
37 26 38 16
42 20 37 25
49 22 39 18
45 19 41 18
39 25 34 19
43 26 40 24
44 24 37 21
42 21 34 23
43 30 42 26
43 25 34 21
39 19 33 19
42 20 34 20
41 18 38 23
44 21 38 19
42 27 31 23
48 21 37 13
42 26 35 18
38 20 33 20
38 19 41 25
40 21 40 18
48 29 35 18
37 24 31 19
46 20 39 28
44 22 37 23
45 26 37 22
40 18 37 27
42 20 42 19
43 18 43 18
34 24 35 18
44 25 42 17
48 20 36 19
47 22 39 20
42 25 39 17
43 17 37 20
42 29 38 17
40 19 37 18
42 26 41 12
43 23 34 19
40 17 40 20
37 25 43 23
45 26 32 18
44 26 31 22
41 24 33 17
44 21 32 22
43 22 35 23
40 21 43 22
44 24 36 18
47 21 43 18
45 18 32 19
43 24 36 25
42 20 31 22
42 28 35 16
47 29 40 23
41 23 31 19
49 24 41 22
42 18 41 22
44 23 42 13
40 21 37 16
40 22 38 17
46 23 39 26
41 26 33 23
34 24 33 21
44 23 44 19
48 21 39 20
42 29 33 23
42 19 33 24
44 21 33 24
46 25 37 20
38 24 43 23
43 16 35 18
38 27 40 24
43 22 37 23
43 18 38 20
50 25 37 19
50 24 35 21
50 21 41 21
41 22 36 26
41 22 37 15
43 22 35 21
45 18 36 23
49 26 38 28
35 31 31 23
36 20 37 20
39 23 32 21
44 24 39 19
37 22 29 12
44 27 32 22
42 17 40 18
40 25 39 21
47 20 34 16
46 20 35 24
43 20 41 24
38 21 33 16
42 21 33 19
45 25 36 19
51 23 37 24
39 18 34 16
39 20 36 16
39 21 33 19
41 22 29 22
50 23 36 30
39 19 35 16
43 26 38 19
39 23 34 17
49 20 44 20
38 21 43 22
45 19 32 28
44 18 35 24
43 21 40 19
50 20 36 22
39 22 36 21
34 25 31 23
43 18 34 19
39 21 36 23
45 26 41 21
36 26 40 12
31 14 22 14
45 21 33 22
46 20 39 23
41 21 40 19
45 17 33 16
46 22 35 26
45 25 39 19
42 18 40 21
40 20 35 22
45 25 42 21
39 25 36 16
48 23 37 23
44 27 38 22
39 21 41 17
44 27 36 16
44 25 37 19
37 16 36 20
39 19 31 17
46 19 42 20
47 24 36 24
42 24 37 24
37 17 36 19
36 17 37 22
38 23 39 22
40 21 33 22
38 14 39 20
47 21 42 24
38 20 41 19
45 26 34 16
46 20 36 15
43 25 38 15
50 25 39 13
49 21 36 25
42 26 39 21
49 22 40 16
41 25 38 20
46 25 35 26
49 23 38 24
44 34 35 24
41 21 33 24
44 25 37 18
43 23 40 13
42 23 31 20
39 28 34 21
39 22 36 21
38 25 38 18
39 24 41 21
36 22 36 17
40 20 41 20
39 27 40 15
47 20 37 23
46 19 37 25
46 22 35 20
47 27 44 21
42 18 41 16
40 28 37 12
43 17 37 22
45 21 40 23
45 30 42 15
43 20 34 24
48 23 37 17
46 22 45 23
39 25 37 23
44 29 40 23
43 16 37 16
41 20 41 21
44 22 40 15
42 20 36 14
49 19 38 21
41 23 31 22
43 24 37 22
32 17 30 18
42 22 43 19
44 27 40 21
39 27 29 23
43 24 43 23
41 20 36 24
43 27 35 20
37 24 37 15
44 19 41 17
40 18 38 18
46 29 32 20
44 23 38 16
45 21 36 21
44 21 37 23
46 21 33 25
37 24 38 25
41 23 36 19
46 24 34 21
40 21 29 20
46 25 37 24
45 22 42 23
41 19 36 15
46 24 40 28
40 25 41 17
46 26 41 21
40 19 37 16
45 22 41 22
39 19 37 20
43 26 42 21
39 22 41 14
42 19 38 13
40 22 38 16
46 27 41 18
46 24 41 21
42 20 43 19
42 25 39 23
41 20 35 17
45 23 36 17
43 28 36 20
48 20 34 24
45 24 35 18
36 21 41 19
41 19 35 24
42 20 38 22
42 19 36 19
45 19 37 17
41 23 44 22
42 27 40 15
42 26 33 14
45 23 39 22
39 25 36 20
46 26 37 24
43 23 36 16
39 19 36 20
46 22 40 20
46 26 42 20
48 18 42 19
44 24 39 22
39 30 42 21
43 21 29 18
46 18 30 26
43 21 33 21
44 13 40 19
44 23 38 21
41 22 34 19
45 21 40 19
41 21 38 21
38 18 36 16
40 26 38 21
43 20 37 18
42 27 39 19
48 23 33 20
46 25 36 18
38 25 44 16
46 27 38 24
41 21 38 20
43 26 38 20
39 23 37 16
40 23 32 17
46 16 34 22
40 16 40 20
40 22 33 18
42 16 36 19
40 23 49 24
45 26 33 25
45 19 44 20
45 19 36 19
37 22 37 18
46 27 33 24
43 18 36 19
43 23 36 16
44 24 39 24
41 17 37 19
39 18 30 19
45 23 37 21
44 17 41 17
50 22 38 19
42 19 36 21
40 19 31 19
49 24 36 24
44 21 33 23
42 29 42 24
47 21 37 22
39 31 37 17
42 27 37 19
41 23 33 25
42 25 41 22
41 19 37 16
40 27 37 15
44 21 34 23
42 23 38 22
45 22 33 21
41 23 37 18
36 25 38 20
41 28 42 18
41 22 37 18
41 19 34 24
40 22 39 17
38 23 31 22
43 19 35 17
37 28 39 24
43 23 36 17
44 22 36 19
41 21 38 22
43 15 40 17
42 18 38 18
41 21 29 18
43 21 38 19
44 24 34 21
43 19 32 20
45 23 38 22
37 19 39 20
40 25 45 18
40 20 39 26
38 24 41 18
40 22 34 19
39 19 35 21
44 26 44 23
37 23 40 20
37 19 41 13
36 21 43 25
45 17 34 19
45 25 36 21
45 27 38 19
35 23 33 23
43 18 33 19
37 21 40 18
43 14 35 17
44 17 40 23
38 30 37 21
43 31 36 19
40 17 37 20
44 28 38 16
44 18 41 20
44 23 37 18
45 20 32 26
36 22 38 14
46 25 36 19
44 19 36 20
38 22 38 23
45 18 34 21
47 20 35 15
40 23 36 23
42 18 40 21
44 20 39 19
44 20 36 22
44 22 38 16
43 17 30 21
45 20 38 22
44 22 43 27
48 23 33 23
44 22 33 21
39 27 38 24
40 21 37 20
49 19 39 18
45 23 37 15
43 27 38 26
48 20 40 23
43 22 39 18
44 19 38 19
42 28 36 20
41 18 37 26
42 19 43 23
46 25 36 22
42 22 34 15
30 17 39 21
47 20 42 22
45 15 37 16
44 17 36 15
40 21 40 22
42 24 38 25
42 22 44 23
39 23 38 24
50 21 37 26
39 27 35 14
42 18 33 17
42 23 37 24
40 15 36 19
39 20 33 18
36 20 31 20
41 20 37 19
42 20 37 14
39 21 31 21
46 24 40 19
44 25 32 19
43 28 39 16
40 25 35 23
44 20 38 20
42 18 34 24
39 25 41 19
41 24 38 20
43 14 36 22
45 27 38 22
37 23 36 16
39 24 44 17
47 22 37 20
42 22 37 21
42 23 36 20
42 21 38 23
51 24 35 22
45 25 34 21
38 25 40 23
36 20 31 17
38 27 41 17
49 20 39 18
41 31 37 13
43 26 42 16
39 26 36 15
41 18 37 16
43 24 33 21
38 22 41 15
49 22 42 27
41 20 32 21
41 25 34 19
46 23 38 21
46 21 35 28
47 23 36 25
42 28 32 19
43 28 41 24
41 28 38 19
47 29 34 17
40 19 35 24
34 22 27 13
45 26 42 20
44 19 38 24
41 23 36 22
43 24 39 23
39 30 31 16
42 24 41 19
45 19 32 24
43 18 35 20
43 23 34 25
45 24 34 18
45 23 41 19
42 17 42 22
39 25 40 20
37 22 35 16
41 24 42 19
42 26 36 21
45 25 39 29
47 19 33 19
41 27 36 20
41 22 35 25
44 22 44 22
41 28 39 26
49 19 36 20
37 19 30 17
45 26 38 23
46 21 36 20
40 24 40 22
43 30 34 19
42 22 38 18
43 25 31 17
42 26 29 26
39 28 32 24
39 22 29 24
37 20 40 26
41 24 40 20
40 22 44 18
42 19 32 18
43 12 30 17
43 20 34 22
49 19 38 19
44 17 37 17
46 23 34 26
43 23 36 23
43 25 33 22
46 25 35 22
42 21 29 19
43 21 39 17
44 29 35 24
41 25 32 19
38 24 35 18
42 23 43 21
37 18 31 15
43 28 35 23
44 17 35 24
42 19 32 18
41 17 37 22
38 29 38 20
40 26 33 17
47 23 35 17
45 22 28 25
41 24 39 22
40 20 37 28
48 24 43 20
37 24 33 19
42 18 34 14
42 22 38 19
42 26 34 24
48 20 31 26
46 21 41 19
40 18 38 18
40 27 40 20
43 19 33 20
44 22 41 21
33 26 34 29
39 19 38 19
42 18 37 13
38 23 38 25
39 25 31 16
39 25 39 22
46 22 37 21
42 27 32 19
45 20 36 18
41 25 41 20
41 21 39 23
42 25 32 18
41 22 39 23
46 23 41 23
47 19 32 20
38 21 36 14
44 20 35 23
44 26 33 19
44 24 36 24
45 24 39 24
37 23 36 22
46 18 36 17
37 22 41 17
43 22 37 23
44 26 36 16
38 27 46 22
41 26 39 23
48 26 40 22
42 21 32 23
46 24 34 18
42 22 41 21
41 22 37 22
44 24 42 24
37 26 42 18
45 22 33 19
45 23 38 25
47 20 39 23
47 20 40 20
38 16 35 26
50 25 31 18
43 22 37 20
42 25 42 20
46 24 36 20
45 17 37 25
43 21 38 23
44 25 33 14
46 18 35 19
43 21 33 21
41 21 36 19
47 20 39 25
40 17 31 19
40 22 38 20
44 22 35 22
39 22 33 21
41 26 38 18
44 24 37 22
44 21 34 19
43 21 40 24
44 25 44 21
40 22 34 16
48 27 38 19
42 29 32 26
44 20 35 22
44 26 35 17
44 22 40 18
41 22 38 22
44 23 32 24
45 21 41 24
43 22 33 16
45 23 42 20
39 22 34 17
44 26 39 22
40 27 38 16
42 22 34 21
45 24 35 24
43 25 43 16
42 19 34 24
44 16 31 20
42 20 37 19
44 22 39 23
41 27 38 22
44 18 36 21
47 25 32 20
42 15 35 18
42 24 33 24
46 21 37 19
45 22 36 26
38 24 38 24
42 21 40 21
43 22 37 23
44 25 36 15
38 25 41 19
42 26 38 13
43 23 29 22
40 25 39 23
48 24 43 15
38 19 39 22
44 22 34 21
46 24 37 16
37 22 29 19
45 21 38 18
43 24 38 23
44 20 38 20
38 21 34 20
41 19 38 13
44 23 36 18
47 27 37 16
