// Initial random seed:
1502138562667

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
initializeMutationType(2, 0.5, "f", -1);
initializeGenomicElementType(1, c(m1, m2), c(1, 1));
initializeGenomicElement(g1, 0, 999);
initializeRecombinationRate(0.001);

// Starting run at generation <start>:
1 

DATA:
1
37 28 36 29
35 24 32 28
42 30 35 28
36 25 37 30
35 33 39 24
33 18 34 25
39 25 37 31
38 24 36 23
37 27 40 28
33 28 33 26
37 23 38 27
38 30 31 26
39 28 35 23
39 28 37 21
40 23 30 31
37 26 33 20
44 30 40 24
41 27 38 27
39 34 34 17
42 22 36 21
42 38 30 25
44 28 39 22
37 29 34 27
45 24 36 20
34 31 36 25
34 27 32 26
43 30 39 21
40 28 33 23
39 29 32 25
42 26 35 23
40 33 34 22
40 32 37 23
39 26 26 25
43 22 31 26
41 30 27 28
43 30 34 23
42 27 29 27
50 24 36 26
42 25 31 28
38 20 28 21
40 29 32 26
39 27 37 25
41 28 34 24
41 28 27 20
41 28 28 35
36 30 33 25
41 33 35 26
40 26 24 26
43 25 34 25
40 27 33 26
38 27 34 29
35 33 36 26
38 26 36 27
36 27 31 21
44 31 39 23
43 35 32 27
41 28 33 26
42 30 32 28
35 30 31 24
41 29 34 22
41 28 36 22
35 27 34 23
37 25 32 22
40 28 33 22
42 29 32 23
36 25 33 25
37 35 32 24
36 25 32 24
35 32 34 26
32 29 34 26
45 27 35 28
41 26 31 23
38 25 36 25
37 23 35 25
36 32 26 20
39 32 33 23
37 25 35 21
36 28 30 19
42 29 26 22
36 30 32 27
45 28 40 27
43 28 28 27
41 33 28 21
44 26 29 24
37 30 32 25
40 24 28 25
33 26 34 23
33 30 38 22
40 27 37 27
39 32 36 26
42 25 28 23
43 28 31 25
34 28 31 24
39 28 34 25
45 24 34 27
38 30 33 21
44 27 33 18
43 29 38 26
46 26 30 20
41 28 29 18
34 26 31 25
36 23 33 24
33 31 39 24
45 24 32 23
43 22 32 27
42 24 31 22
42 29 32 22
34 30 36 24
39 25 32 23
42 30 31 28
42 24 36 19
27 20 31 19
34 24 29 26
38 27 32 23
31 29 34 24
41 22 33 20
40 28 32 24
40 29 30 25
40 30 30 21
39 31 36 20
43 22 22 26
42 21 33 18
38 30 31 21
40 30 30 25
41 26 27 20
39 30 28 22
34 29 30 22
39 28 33 23
41 27 38 26
40 27 35 26
41 31 31 23
43 30 34 25
32 25 37 26
40 32 33 23
38 28 31 27
41 24 33 28
39 27 29 21
39 28 32 23
42 26 38 24
43 28 35 23
39 26 36 23
43 29 30 25
46 28 32 26
40 25 37 21
38 23 32 24
39 24 30 24
36 24 33 19
39 26 29 26
34 30 36 22
36 30 31 29
38 25 32 21
41 26 29 24
38 23 34 29
41 25 28 18
38 21 35 24
35 27 35 22
40 31 32 29
39 27 36 21
38 28 29 23
42 31 33 21
44 29 35 21
40 25 25 28
43 26 30 20
39 29 31 28
41 24 31 24
41 26 39 24
46 23 37 27
42 26 33 22
39 27 36 25
34 30 23 25
38 32 30 21
37 31 33 21
41 25 32 25
38 26 37 24
35 24 36 25
46 27 29 21
36 36 30 26
42 25 34 23
41 28 29 22
41 24 29 24
44 24 34 24
42 26 35 28
36 24 30 24
40 24 33 26
35 24 30 30
33 24 23 33
35 26 34 21
36 24 31 20
38 27 33 21
37 21 30 24
39 31 32 24
46 27 31 18
40 26 31 24
37 28 29 21
44 30 31 19
47 30 31 24
39 23 35 22
37 30 35 26
40 26 31 22
48 23 38 22
41 26 34 32
34 28 28 22
39 28 37 26
49 25 35 25
41 27 32 24
38 38 32 27
37 26 36 26
41 27 36 20
41 27 32 24
40 30 33 25
36 30 37 25
42 28 37 23
35 30 25 24
41 23 34 26
37 27 33 26
41 33 31 27
38 28 30 23
40 33 35 26
36 31 39 23
44 31 28 30
45 31 34 25
43 32 35 19
34 24 31 22
43 24 38 28
45 32 34 22
37 25 34 23
38 26 35 24
47 26 41 23
37 28 37 23
42 25 33 21
40 24 33 27
41 31 30 22
39 34 29 24
39 28 29 27
43 29 32 25
45 24 31 28
45 32 32 23
36 27 31 26
37 28 31 27
42 24 32 23
47 25 26 25
39 28 30 25
39 24 35 22
33 27 33 23
43 32 37 20
38 29 32 24
39 27 39 28
45 21 36 28
46 26 26 27
39 28 29 30
41 38 31 27
37 26 37 19
39 22 36 25
36 30 36 25
37 24 31 24
40 27 31 23
41 35 37 22
35 28 26 22
36 22 35 27
41 27 36 27
41 32 40 25
39 21 31 23
38 27 33 22
32 30 37 24
45 25 35 23
37 33 29 24
37 28 38 28
37 33 27 29
38 21 30 28
35 24 34 28
42 20 35 22
42 21 30 24
41 29 29 21
48 38 35 23
39 27 32 27
38 27 33 26
37 30 30 21
37 28 35 20
39 32 36 30
39 29 34 27
35 27 29 20
37 26 34 26
36 22 27 22
41 29 38 23
38 30 37 21
34 31 30 20
43 23 36 26
43 29 31 21
42 28 31 22
38 29 35 22
39 29 28 18
45 31 26 20
46 29 35 20
41 31 26 19
42 29 32 23
43 27 30 23
44 33 34 23
37 25 38 29
42 29 31 21
42 25 31 26
44 28 29 21
39 24 33 21
36 30 33 23
35 25 34 23
40 25 33 25
36 25 40 23
39 31 35 22
44 24 28 20
38 34 31 22
42 26 38 21
33 27 32 25
34 33 32 25
42 30 31 30
39 27 33 29
37 25 40 34
40 34 34 21
35 35 36 24
37 30 33 25
44 26 32 27
37 24 28 26
40 28 32 25
36 22 31 25
40 25 30 26
34 28 34 26
46 28 32 23
37 26 31 27
44 29 32 25
45 32 34 27
44 28 36 22
42 27 40 21
43 29 34 21
46 27 36 26
40 24 40 28
37 31 32 23
40 27 34 22
45 33 30 28
38 26 31 22
37 26 30 22
42 26 35 21
41 32 31 24
34 28 32 22
36 26 34 27
41 27 33 29
45 23 33 26
41 23 34 22
38 29 36 26
38 31 30 26
41 26 25 26
40 29 36 23
40 23 36 22
42 26 29 23
48 25 25 23
35 30 39 24
41 36 29 23
42 24 31 24
42 24 29 25
38 26 32 25
43 31 36 30
44 25 31 19
41 26 29 25
39 30 34 18
45 28 34 23
45 27 37 21
40 26 35 21
42 23 34 31
42 27 35 25
35 24 33 20
41 22 32 22
42 28 34 25
39 29 37 27
41 23 33 19
35 25 34 23
36 30 29 25
48 26 37 25
36 25 31 25
44 33 34 22
44 28 33 21
40 23 35 23
38 21 40 22
36 29 30 23
35 32 31 25
40 29 30 21
46 26 35 25
35 31 35 24
38 29 29 26
30 29 20 23
34 24 30 19
39 33 30 23
40 31 32 22
36 31 35 23
35 24 24 30
40 24 34 24
42 22 31 25
38 27 31 23
44 28 28 26
37 35 34 24
37 23 33 29
40 31 34 27
40 31 37 25
43 26 38 26
46 20 38 19
39 30 35 23
46 26 34 24
36 26 33 28
38 27 33 24
35 30 35 31
34 26 30 26
41 28 36 22
37 28 30 26
36 32 32 30
43 25 30 19
38 27 36 28
32 31 32 21
38 28 34 27
38 24 34 28
42 32 32 19
43 22 35 20
38 27 35 33
39 29 33 23
38 31 33 25
39 22 33 30
40 30 30 27
35 38 34 19
41 33 31 25
44 23 38 23
32 28 25 23
36 32 29 21
43 30 36 27
41 27 31 25
39 30 34 24
46 35 35 23
38 34 34 27
37 29 38 25
39 29 37 29
44 25 39 25
42 30 34 28
43 30 37 25
42 23 33 29
46 26 34 25
44 26 33 23
42 29 36 27
47 26 37 24
40 28 34 24
37 26 35 26
39 28 35 20
36 28 29 27
44 24 37 25
47 24 37 31
34 24 37 29
37 30 34 25
43 27 31 25
45 27 35 26
41 31 37 23
35 26 36 23
40 26 34 22
36 24 30 23
40 29 31 27
38 26 35 24
44 30 36 25
37 22 33 25
31 30 35 24
44 29 30 29
43 27 35 28
38 28 31 26
41 30 39 24
38 27 30 19
41 27 36 26
37 26 35 23
43 33 29 24
32 26 26 22
43 27 29 23
35 28 33 25
36 28 38 24
39 27 33 22
40 21 34 29
40 26 33 22
41 34 33 22
31 32 34 21
38 34 33 28
34 31 32 24
46 30 35 29
37 29 35 26
39 34 33 20
44 25 35 23
46 31 34 27
43 24 32 23
38 27 31 25
43 29 35 22
39 25 33 28
39 28 38 25
35 25 36 20
40 31 30 21
42 32 37 24
38 28 34 25
41 23 25 22
34 29 28 26
40 30 36 27
36 27 28 28
41 24 30 19
38 29 32 22
39 29 35 25
36 28 29 21
43 21 33 29
39 26 31 20
42 25 31 20
43 29 28 21
43 26 32 24
42 28 31 27
38 24 34 25
42 27 31 23
36 25 35 21
42 20 35 24
42 27 34 23
40 24 28 23
41 28 36 24
35 25 36 23
43 25 29 27
38 30 34 21
44 32 32 26
39 23 32 27
43 27 33 22
39 25 33 22
38 32 32 27
44 23 34 24
39 29 32 24
42 35 37 25
40 22 32 25
39 27 35 24
40 26 34 28
40 24 34 25
42 26 32 27
38 28 34 28
48 29 34 22
38 23 30 22
46 26 34 29
41 22 36 28
41 34 32 21
41 23 33 24
45 27 35 25
37 22 32 23
40 27 32 27
37 24 34 25
33 26 33 23
42 27 27 23
39 30 32 25
39 30 32 24
44 31 34 26
40 25 35 25
38 33 37 20
40 26 34 26
42 30 40 21
35 30 31 21
42 28 30 26
44 25 31 25
38 30 30 24
35 23 33 29
43 23 30 23
41 27 32 21
39 28 31 20
44 25 30 20
39 27 31 24
39 22 29 26
43 27 33 24
35 27 25 21
40 27 41 24
40 29 33 27
43 31 32 28
42 24 28 21
42 29 30 23
39 30 32 26
35 24 25 19
35 24 33 24
36 30 34 23
35 24 38 20
38 25 30 29
36 31 22 20
39 33 39 22
46 31 36 29
39 37 28 22
43 29 30 18
46 29 32 26
39 23 38 21
47 36 33 23
33 28 37 23
36 34 35 26
33 21 30 24
37 31 36 22
43 26 38 20
42 23 33 21
40 35 32 25
39 27 31 24
38 28 34 24
39 27 39 23
36 29 32 30
34 24 25 23
43 26 34 19
43 26 26 22
38 31 34 23
40 25 29 22
39 28 28 26
41 30 34 25
42 29 25 23
48 26 33 27
42 29 35 26
37 29 37 21
38 27 28 18
36 33 32 29
38 25 39 23
43 25 36 32
33 26 30 22
34 25 31 28
34 24 33 25
40 29 36 22
39 29 29 30
40 28 32 28
35 27 39 21
40 31 28 27
35 27 28 22
44 28 33 28
45 24 32 24
38 28 37 28
37 25 29 31
44 29 31 20
42 25 31 23
38 32 32 24
37 26 35 25
36 24 31 22
39 30 29 25
48 31 31 21
39 23 31 22
39 22 33 24
45 25 33 21
40 30 38 29
39 27 30 20
42 27 29 21
39 29 36 24
44 34 33 29
41 24 33 26
37 27 33 22
40 32 28 27
41 31 35 24
38 25 30 25
37 27 31 21
45 21 31 26
40 27 35 28
38 21 30 19
42 30 35 24
41 31 33 29
32 27 34 22
40 31 35 23
36 28 32 25
38 26 35 33
41 33 33 27
38 21 31 22
36 35 27 28
43 21 30 27
41 27 31 25
36 32 33 21
42 28 27 28
42 25 30 24
43 23 29 22
37 33 36 28
37 27 38 26
38 26 32 28
42 24 29 26
45 27 29 27
40 28 27 26
42 31 33 27
29 27 27 26
38 30 39 28
37 27 34 24
34 30 33 27
46 31 35 25
43 26 35 28
38 28 39 25
41 31 39 25
44 24 34 25
43 28 37 23
38 27 35 27
37 30 30 23
40 31 41 20
38 35 36 23
42 31 28 28
40 28 31 24
38 24 32 21
38 24 30 21
38 33 36 25
43 28 37 24
36 30 28 24
36 29 28 21
41 25 33 24
38 28 34 19
44 23 25 20
37 31 35 22
40 24 40 24
42 26 31 22
39 27 31 26
44 31 32 29
44 27 30 20
38 21 31 28
39 23 30 23
39 26 31 23
39 30 32 22
41 23 34 27
38 26 38 30
37 25 37 28
39 22 32 25
42 31 32 26
37 25 33 21
41 27 27 24
36 27 29 27
41 28 36 24
38 28 32 22
42 30 35 25
40 29 30 27
37 30 32 20
38 29 32 26
34 27 40 25
40 23 36 25
41 24 35 28
38 30 34 24
43 33 36 23
38 24 32 24
43 25 30 23
41 25 34 25
34 25 33 22
43 30 27 27
